CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOPPQHJMKMCDEFIAH00622969";1;1;2019;4;2;530;2;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;1;2019;4;2;536;1;1
"TQRMNOPPQHLKLMCDEFIAH00646702";1;1;2019;4;2;604;1;1
"TQRMNOPPRHJMLUCDEFIAH00623008";1;1;2019;4;2;536;2;2
"TQRMNOPPSHJMKMCDEFIAH00623022";1;1;2019;4;2;530;1;1
"TQRMNOPPSHJMLUCDEFIAH00646683";1;1;2019;4;2;536;1;1
"TQRMNOPPSHLKLMCDEFIAH00646637";1;1;2019;4;2;604;1;1
"TQRMNOPPTHJMLUCDEFIAH00622905";1;1;2019;4;2;536;1;1
"TQRMNOPPUHLKLMCDEFIAH00646662";1;1;2019;4;2;604;1;1
"TQRMNOPPVHJOLQCDEFIAH00622895";1;1;2019;4;2;876;2;1
"TQRMNOPPVHKMLSCDEFIAH00622994";2;1;2019;4;2;552;1;1
"TQRMNOPPVHKNLPCDEFIAH00623013";1;1;2019;4;2;426;2;2
"TQRMNOPPWHJOLQCDEFIAH00622885";1;1;2019;4;2;876;2;1
"TQRMNOPPWHKMLSCDEFIAH00623009";1;1;2019;4;2;552;1;1
"TQRMNOPPXHJOLQCDEFIAH00622923";1;1;2019;4;2;876;2;1
"TQRMNOPPXHKMLSCDEFIAH00617427";1;1;2019;4;2;552;1;1
"TQRMNOPPXHKNLPCDEFIAH00622874";1;1;2019;4;2;426;2;1
"TQRMNOPPYHJOLQCDEFIAH00622957";1;1;2019;4;2;876;2;1
"TQRMNOPPYHKMLSCDEFIAH00617362";1;1;2019;4;2;552;1;1
"TQRMNOPPYHKNLPCDEFIAH00622955";1;1;2019;4;2;426;1;1
"TQRMNOPPYHMOLTCDEFIAH00640532";1;1;2019;4;2;852;2;1
"TQRMNOPQPHKMLSCDEFIAH00617388";1;1;2019;4;2;552;1;1
"TQRMNOPQPHKNLPCDEFIAH00617361";1;1;2019;4;2;426;2;2
"TQRMNOPQQHMOLTCDEFIAH00640400";1;1;2019;4;2;852;1;1
"TQRMNOPQRHJKLMCDEFIAH00646634";1;1;2019;4;2;1424;1;1
"TQRMNOPQRHLLKTCDEFIAH00646764";1;1;2019;4;2;887;1;1
"TQRMNOPQRHMOLTCDEFIAH00640474";1;1;2019;4;2;852;1;1
"TQRMNOPQSHJKLMCDEFIAH00623028";1;1;2019;4;2;1424;1;1
"TQRMNOPQSHLLKTCDEFIAH00646729";1;1;2019;4;2;887;1;1
"TQRMNOPQSHMOLTCDEFIAH00640549";1;1;2019;4;2;852;2;2
"TQRMNOPQTHJKLMCDEFIAH00622877";1;1;2019;4;2;1424;1;1
"TQRMNOPQTHLLKTCDEFIAH00646692";1;1;2019;4;2;887;1;1
"TQRMNOPQUHLLKTCDEFIAH00646643";1;1;2019;4;2;887;2;2
"TQRMNOPQVHJKKSCDEFIAH00646744";1;1;2019;4;2;1487;1;1
"TQRMNOPQVHLMLOCDEFIAH00646742";1;1;2019;4;2;548;2;1
"TQRMNOPQVHMOKNCDEFIAH00640447";1;1;2019;4;2;651;2;1
"TQRMNOPQWHKLKSCDEFIAH00640476";1;1;2019;4;2;1025;1;1
"TQRMNOPQWHKOLTCDEFIAH00617350";1;1;2019;4;2;401;2;1
"TQRMNOPQWHLMLOCDEFIAH00646758";1;1;2019;4;2;548;1;1
"TQRMNOPQWHLOKMCDEFIAH00646620";1;1;2019;4;2;646;2;2
"TQRMNOPQWHMOKNCDEFIAH00640516";2;1;2019;4;2;651;1;1
"TQRMNOPQXHJKKSCDEFIAH00628486";1;1;2019;4;2;1487;1;1
"TQRMNOPQXHLOKMCDEFIAH00646715";1;1;2019;4;2;646;1;1
"TQRMNOPQYHJKKSCDEFIAH00622876";1;1;2019;4;2;1487;1;1
"TQRMNOPQYHKOLTCDEFIAH00617356";1;1;2019;4;2;401;2;1
"TQRMNOPQYHLMKQCDEFIAH00646666";1;1;2019;4;2;551;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;1;2019;4;2;646;1;1
"TQRMNOPQYHMOKNCDEFIAH00646714";1;1;2019;4;2;651;1;1
"TQRMNOPRPHJKKSCDEFIAH00646641";1;1;2019;4;2;1487;1;1
"TQRMNOPRPHLMKQCDEFIAH00646710";1;1;2019;4;2;551;1;1
"TQRMNOPRPHMOKNCDEFIAH00640490";1;1;2019;4;2;651;1;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;1;2019;4;2;561;1;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;1;2019;4;2;729;1;1
"TQRMNOPRRHKNKMCDEFIAH00617354";1;1;2019;4;2;561;2;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;1;2019;4;2;640;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;1;2019;4;2;729;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;1;2019;4;2;561;1;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;1;2019;4;2;640;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;1;2019;4;2;640;2;2
"TQRMNOPRUHKOLOCDEFIAH00617463";1;1;2019;4;2;640;2;1
"TQRMNOPRUHLMLPCDEFIAH00646767";1;1;2019;4;2;552;1;1
"TQRMNOPSQHLMLPCDEFIAH00646640";1;1;2019;4;2;552;2;1
"TQRMNOPSQHMMLUCDEFIAH00646700";1;1;2019;4;2;639;2;2
"TQRMNOPSRHLMLPCDEFIAH00646678";1;1;2019;4;2;552;1;1
"TQRMNOPSSHKMKUCDEFIAH00617398";1;1;2019;4;2;616;2;1
"TQRMNOPSSHKOLUCDEFIAH00640404";1;1;2019;4;2;633;1;1
"TQRMNOPSSHLMLUCDEFIAH00646732";1;1;2019;4;2;537;1;1
"TQRMNOPSTHLMLPCDEFIAH00646771";1;1;2019;4;2;552;1;1
"TQRMNOPSUHKMLLCDEFIAH00640522";1;1;2019;4;2;551;2;1
"TQRMNOPSUHKOLUCDEFIAH00617379";1;1;2019;4;2;633;2;2
"TQRMNOPSUHLMLUCDEFIAH00646748";1;1;2019;4;2;537;1;1
"TQRMNOPSVHJLKUCDEFIAH00622914";1;1;2019;4;2;756;1;1
"TQRMNOPSVHKMLLCDEFIAH00617420";2;1;2019;4;2;551;1;1
"TQRMNOPSVHMOLRCDEFIAH00640510";1;1;2019;4;2;1008;2;2
"TQRMNOPSWHJLKUCDEFIAH00622906";1;1;2019;4;2;756;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;1;2019;4;2;1045;1;1
"TQRMNOPSWHKMLLCDEFIAH00617399";1;1;2019;4;2;551;1;1
"TQRMNOPSWHMOLRCDEFIAH00640489";1;1;2019;4;2;1008;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;1;2019;4;2;627;2;1
"TQRMNOPSXHKKKPCDEFIAH00622886";1;1;2019;4;2;1045;1;1
"TQRMNOPSXHKMLLCDEFIAH00617376";1;1;2019;4;2;551;1;1
"TQRMNOPSXHMOLRCDEFIAH00640457";1;1;2019;4;2;1008;2;2
"TQRMNOPSYHJLKUCDEFIAH00622915";1;1;2019;4;2;756;1;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;1;2019;4;2;627;2;1
"TQRMNOPSYHMOLRCDEFIAH00640506";1;1;2019;4;2;1008;1;1
"TQRMNOPTQHJOKNCDEFIAH00622879";1;1;2019;4;2;627;1;2
"TQRMNOPTRHJMLSCDEFIAH00622896";1;1;2019;4;2;506;2;2
"TQRMNOPTRHJMMLCDEFIAH00622997";1;1;2019;4;2;542;1;1
"TQRMNOPTSHJMLSCDEFIAH00622929";1;1;2019;4;2;506;1;1
"TQRMNOPTSHMOLRCDEFIAH00640450";1;1;2019;4;2;1008;2;2
"TQRMNOPTUHJMLSCDEFIAH00622894";1;1;2019;4;2;506;1;1
"TQRMNOPTUHMMKOCDEFIAH00640494";1;1;2019;4;2;511;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;1;2019;4;2;542;1;1
"TQRMNOPTWHMOMMCDEFIAH00640553";1;1;2019;4;2;668;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;1;2019;4;2;542;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;1;2019;4;2;511;1;1
"TQRMNOPTXHJOMMCDEFIAH00622983";1;1;2019;4;2;655;2;2
"TQRMNOPTXHMMKOCDEFIAH00640550";1;1;2019;4;2;511;1;1
"TQRMNOPTXHMOMMCDEFIAH00646736";1;1;2019;4;2;668;1;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;1;2019;4;2;511;2;2
"TQRMNOPTYHMMKOCDEFIAH00640417";1;1;2019;4;2;511;1;1
"TQRMNOPTYHMOMMCDEFIAH00640484";1;1;2019;4;2;668;1;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;1;2019;4;2;511;1;1
"TQRMNOPUPHJOMMCDEFIAH00622984";1;1;2019;4;2;655;1;1
"TQRMNOPUQHJOMMCDEFIAH00623030";1;1;2019;4;2;655;1;2
"TQRMNOPUQHLMKOCDEFIAH00646774";1;1;2019;4;2;529;1;1
"TQRMNOPUQHLOLRCDEFIAH00646761";1;1;2019;4;2;628;2;1
"TQRMNOPUQHMOMMCDEFIAH00640466";1;1;2019;4;2;668;1;1
"TQRMNOPURHLOLRCDEFIAH00646682";1;1;2019;4;2;628;2;2
"TQRMNOPURHMMMLCDEFIAH00640515";1;1;2019;4;2;605;1;1
"TQRMNOPUSHLOLRCDEFIAH00646650";1;1;2019;4;2;628;2;1
"TQRMNOPUTHKMKNCDEFIAH00622941";1;1;2019;4;2;572;2;1
"TQRMNOPUTHLMKOCDEFIAH00646622";1;1;2019;4;2;529;1;1
"TQRMNOPUUHKMKNCDEFIAH00646773";1;1;2019;4;2;572;2;1
"TQRMNOPUUHLOLRCDEFIAH00646679";1;1;2019;4;2;628;2;2
"TQRMNOPUWHMMMLCDEFIAH00646690";1;1;2019;4;2;605;1;1
"TQRMNOPUYHMMMLCDEFIAH00640468";1;1;2019;4;2;605;1;1
"TQRMNOPVQHLKKSCDEFIAH00646755";1;1;2019;4;2;1131;2;1
"TQRMNOPVRHLKKSCDEFIAH00646660";1;1;2019;4;2;1131;2;2
"TQRMNOPVSHLLKUCDEFIAH00646644";1;1;2019;4;2;789;1;1
"TQRMNOPVSHMMLOCDEFIAH00646766";1;1;2019;4;2;546;1;1
"TQRMNOPVTHLKKSCDEFIAH00646671";1;1;2019;4;2;1131;1;1
"TQRMNOPVTHLLKUCDEFIAH00646645";1;1;2019;4;2;789;1;1
"TQRMNOPVUHLKKSCDEFIAH00646672";1;1;2019;4;2;1131;1;1
"TQRMNOPVUHLLKUCDEFIAH00646699";1;1;2019;4;2;789;1;1
"TQRMNOPVVHKMKNCDEFIAH00622970";1;1;2019;4;2;572;1;1
"TQRMNOPVVHLLKUCDEFIAH00646624";1;1;2019;4;2;789;1;1
"TQRMNOPVWHKMKNCDEFIAH00622932";2;1;2019;4;2;572;1;1
"TQRMNOPVWHLLKUCDEFIAH00646775";1;1;2019;4;2;789;1;1
"TQRMNOPVXHKMKNCDEFIAH00617360";1;1;2019;4;2;572;1;1
"TQRMNOPVYHKOMMCDEFIAH00617387";1;1;2019;4;2;514;2;2
"TQRMNOPWPHKOMMCDEFIAH00617480";1;1;2019;4;2;514;2;2
"TQRMNOPWRHKOMMCDEFIAH00617431";2;1;2019;4;2;514;2;1
"TQRMNOPWSHKMLQCDEFIAH00617467";1;1;2019;4;2;554;1;1
"TQRMNOPWSHKOMMCDEFIAH00617458";1;1;2019;4;2;514;2;2
"TQRMNOPWTHKMLQCDEFIAH00617468";1;1;2019;4;2;554;1;1
"TQRMNOPWUHKMLQCDEFIAH00617447";2;1;2019;4;2;554;1;1
"TQRMNOPWVHKMLQCDEFIAH00617426";1;1;2019;4;2;554;1;1
"TQRMNOPWWHKMLQCDEFIAH00617454";1;1;2019;4;2;554;1;1
