CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOPPQHJOLTCDEFIAH00497977";1;1;2017;4;2;559;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;1;2017;4;2;595;1;1
"TQRMNOPPRHJOLTCDEFIAH00497981";1;1;2017;4;2;559;2;2
"TQRMNOPPRHJOMMCDEFIAH00498028";1;1;2017;4;2;672;2;1
"TQRMNOPPRHKOLUCDEFIAH00487808";1;1;2017;4;2;659;1;1
"TQRMNOPPSHJOLTCDEFIAH00497982";1;1;2017;4;2;559;1;1
"TQRMNOPPSHMMLUCDEFIAH00594736";1;1;2017;4;2;595;1;1
"TQRMNOPPTHJOLTCDEFIAH00497983";1;1;2017;4;2;559;1;1
"TQRMNOPPTHKOLUCDEFIAH00487828";1;1;2017;4;2;659;1;1
"TQRMNOPPUHJOMMCDEFIAH00498049";1;1;2017;4;2;672;1;1
"TQRMNOPPVHLLKUCDEFIAH00600542";1;1;2017;4;2;975;1;1
"TQRMNOPQQHKOLOCDEFIAH00498098";1;1;2017;4;2;702;2;1
"TQRMNOPQRHKOLOCDEFIAH00498099";1;1;2017;4;2;702;2;1
"TQRMNOPQSHKOLOCDEFIAH00498101";1;1;2017;4;2;702;2;1
"TQRMNOPQTHKOLOCDEFIAH00498149";1;1;2017;4;2;702;2;1
"TQRMNOPQUHKOLOCDEFIAH00498129";1;1;2017;4;2;702;2;1
"TQRMNOPQVHKMLMCDEFIAH00498130";1;1;2017;4;2;564;2;2
"TQRMNOPQVHMLKUCDEFIAH00594717";1;1;2017;4;2;851;1;1
"TQRMNOPQVHMMMLCDEFIAH00594737";1;1;2017;4;2;603;2;2
"TQRMNOPQWHKMLMCDEFIAH00487811";1;1;2017;4;2;564;1;1
"TQRMNOPQWHMLKUCDEFIAH00594744";1;1;2017;4;2;851;1;1
"TQRMNOPQWHMMMLCDEFIAH00594778";1;1;2017;4;2;603;1;1
"TQRMNOPQXHKMLMCDEFIAH00487867";1;1;2017;4;2;564;1;1
"TQRMNOPQYHKMLMCDEFIAH00487864";1;1;2017;4;2;564;1;1
"TQRMNOPRPHKMLMCDEFIAH00487798";1;1;2017;4;2;564;1;1
"TQRMNOPRPHMLKUCDEFIAH00594834";1;1;2017;4;2;851;2;2
"TQRMNOPRPHMMMLCDEFIAH00594847";1;1;2017;4;2;603;1;1
"TQRMNOPRTHMOLTCDEFIAH00594858";1;1;2017;4;2;962;1;1
"TQRMNOPRVHMNKMCDEFIAH00594799";1;1;2017;4;2;833;2;1
"TQRMNOPRVHMOLRCDEFIAH00594725";1;1;2017;4;2;1095;1;1
"TQRMNOPRVHMOLTCDEFIAH00594814";1;1;2017;4;2;962;2;2
"TQRMNOPRWHMNKMCDEFIAH00594767";1;1;2017;4;2;833;1;1
"TQRMNOPRWHMOLRCDEFIAH00594855";1;1;2017;4;2;1095;2;2
"TQRMNOPRXHMNKMCDEFIAH00594861";1;1;2017;4;2;833;1;1
"TQRMNOPRXHMOLRCDEFIAH00594856";1;1;2017;4;2;1095;1;1
"TQRMNOPRXHMOLTCDEFIAH00600510";1;1;2017;4;2;962;2;2
"TQRMNOPRYHMOLRCDEFIAH00594772";1;1;2017;4;2;1095;1;1
"TQRMNOPSPHLOKMCDEFIAH00600506";1;1;2017;4;2;717;2;2
"TQRMNOPSPHMNKMCDEFIAH00594768";1;1;2017;4;2;833;1;1
"TQRMNOPSPHMOLRCDEFIAH00594770";1;1;2017;4;2;1095;1;1
"TQRMNOPSQHJOLQCDEFIAH00600472";1;1;2017;4;2;761;2;1
"TQRMNOPSQHKMLSCDEFIAH00487665";1;1;2017;4;2;525;1;1
"TQRMNOPSQHLMLOCDEFIAH00600495";1;1;2017;4;2;526;1;1
"TQRMNOPSQHLOLRCDEFIAH00600565";1;1;2017;4;2;659;2;1
"TQRMNOPSRHJNLRCDEFIAH00600500";1;1;2017;4;2;531;2;2
"TQRMNOPSRHJOLQCDEFIAH00600473";1;1;2017;4;2;761;2;2
"TQRMNOPSRHLOLRCDEFIAH00600604";1;1;2017;4;2;659;1;1
"TQRMNOPSSHLMLOCDEFIAH00600548";1;1;2017;4;2;526;1;1
"TQRMNOPSSHLOLRCDEFIAH00600577";1;1;2017;4;2;659;2;2
"TQRMNOPSTHJOLQCDEFIAH00600476";1;1;2017;4;2;761;2;1
"TQRMNOPSTHKMLSCDEFIAH00487666";1;1;2017;4;2;525;2;1
"TQRMNOPSTHLOLRCDEFIAH00600556";1;1;2017;4;2;659;1;1
"TQRMNOPSUHJNLRCDEFIAH00497935";1;1;2017;4;2;531;1;1
"TQRMNOPSUHJOLQCDEFIAH00600449";1;1;2017;4;2;761;2;2
"TQRMNOPSUHKMLSCDEFIAH00487632";1;1;2017;4;2;525;1;1
"TQRMNOPSUHLOLRCDEFIAH00600576";1;1;2017;4;2;659;1;1
"TQRMNOPSVHLOKMCDEFIAH00600501";1;1;2017;4;2;717;2;1
"TQRMNOPTQHJMKMCDEFIAH00498031";1;1;2017;4;2;500;1;1
"TQRMNOPTRHJMKMCDEFIAH00498024";1;1;2017;4;2;500;2;2
"TQRMNOPTRHLMLUCDEFIAH00600573";1;1;2017;4;2;558;1;1
"TQRMNOPTRHMOKNCDEFIAH00594842";1;1;2017;4;2;703;1;1
"TQRMNOPTSHJMKMCDEFIAH00498013";1;1;2017;4;2;500;1;1
"TQRMNOPTSHLMLUCDEFIAH00600608";1;1;2017;4;2;558;1;1
"TQRMNOPTSHMOKNCDEFIAH00594803";1;1;2017;4;2;703;2;2
"TQRMNOPTTHJMKQCDEFIAH00498156";1;1;2017;4;2;549;1;1
"TQRMNOPTUHJMKQCDEFIAH00498138";1;1;2017;4;2;549;1;1
"TQRMNOPTUHMOKNCDEFIAH00594755";1;1;2017;4;2;703;1;1
"TQRMNOPTVHJKKSCDEFIAH00498064";1;1;2017;4;2;1154;1;1
"TQRMNOPTVHJMKQCDEFIAH00498163";1;1;2017;4;2;549;2;2
"TQRMNOPTWHJMKQCDEFIAH00498164";1;1;2017;4;2;549;1;1
"TQRMNOPUVHKNKMCDEFIAH00487859";1;1;2017;4;2;770;1;1
"TQRMNOPUXHKNKMCDEFIAH00487879";1;1;2017;4;2;770;1;1
"TQRMNOPUXHMMLMCDEFIAH00594733";1;1;2017;4;2;532;1;1
"TQRMNOPUYHKNKMCDEFIAH00487778";1;1;2017;4;2;770;1;1
"TQRMNOPUYHMMLMCDEFIAH00594788";1;1;2017;4;2;532;1;1
"TQRMNOPVPHKNKMCDEFIAH00498096";1;1;2017;4;2;770;1;1
"TQRMNOPVPHMMLMCDEFIAH00594812";1;1;2017;4;2;532;1;1
"TQRMNOPVQHLOKRCDEFIAH00600480";1;1;2017;4;2;602;1;1
"TQRMNOPVQHMKKQCDEFIAH00594822";2;1;2017;4;2;1034;1;1
"TQRMNOPVQHMKKSCDEFIAH00600561";1;1;2017;4;2;920;1;1
"TQRMNOPVRHMKKQCDEFIAH00600525";1;1;2017;4;2;1034;1;1
"TQRMNOPVTHLOKRCDEFIAH00600467";1;1;2017;4;2;602;1;1
"TQRMNOPVUHLOKRCDEFIAH00600468";1;1;2017;4;2;602;1;1
"TQRMNOPVUHMKKQCDEFIAH00600486";1;1;2017;4;2;1034;1;1
"TQRMNOPVVHJKLMCDEFIAH00498095";1;1;2017;4;2;950;1;1
"TQRMNOPVVHLLKTCDEFIAH00600549";1;1;2017;4;2;1121;1;1
"TQRMNOPVVHLLLLCDEFIAH00600574";1;1;2017;4;2;810;1;1
"TQRMNOPVWHLLKTCDEFIAH00600529";1;1;2017;4;2;1121;1;1
"TQRMNOPVWHMMLPCDEFIAH00594810";1;1;2017;4;2;561;1;1
"TQRMNOPVYHJKLMCDEFIAH00507909";1;1;2017;4;2;950;1;1
"TQRMNOPVYHLLLLCDEFIAH00600587";1;1;2017;4;2;810;2;2
