CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPPQHJMKMCDEFIAH00622969";1;1;2019;4;2;530;1;1;2;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;1;2019;4;2;536;1;1;1;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;2;2019;4;2;536;1;1;2;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;3;2019;4;2;536;1;1;2;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;4;2019;4;2;536;1;1;2;1
"TQRMNOPPQHLKLMCDEFIAH00646702";1;1;2019;4;2;604;1;1;1;1
"TQRMNOPPRHJMLUCDEFIAH00623008";1;1;2019;4;2;536;1;2;2;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;1;2019;4;2;530;1;1;1;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;2;2019;4;2;530;1;1;1;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;3;2019;4;2;530;1;1;2;2
"TQRMNOPPSHJMKMCDEFIAH00623022";1;4;2019;4;2;530;1;1;1;1
"TQRMNOPPSHJMLUCDEFIAH00646683";1;1;2019;4;2;536;1;1;1;1
"TQRMNOPPSHJMLUCDEFIAH00646683";1;2;2019;4;2;536;1;1;1;1
"TQRMNOPPSHJMLUCDEFIAH00646683";1;3;2019;4;2;536;1;1;1;1
"TQRMNOPPSHLKLMCDEFIAH00646637";1;1;2019;4;2;604;1;1;1;1
"TQRMNOPPSHLKLMCDEFIAH00646637";1;2;2019;4;2;604;1;1;1;1
"TQRMNOPPSHLKLMCDEFIAH00646637";1;3;2019;4;2;604;1;1;1;1
"TQRMNOPPTHJMLUCDEFIAH00622905";1;1;2019;4;2;536;1;1;2;1
"TQRMNOPPUHLKLMCDEFIAH00646662";1;1;2019;4;2;604;1;1;1;1
"TQRMNOPPVHJOLQCDEFIAH00622895";1;1;2019;4;2;876;2;1;2;1
"TQRMNOPPVHJOLQCDEFIAH00622895";1;2;2019;4;2;876;2;1;2;1
"TQRMNOPPVHJOLQCDEFIAH00622895";1;3;2019;4;2;876;2;2;2;1
"TQRMNOPPVHJOLQCDEFIAH00622895";1;4;2019;4;2;876;2;2;2;1
"TQRMNOPPVHKMLSCDEFIAH00622994";2;1;2019;4;2;552;1;1;2;1
"TQRMNOPPVHKNLPCDEFIAH00623013";1;1;2019;4;2;426;1;2;2;2
"TQRMNOPPWHJOLQCDEFIAH00622885";1;1;2019;4;2;876;1;1;2;1
"TQRMNOPPWHKMLSCDEFIAH00623009";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPPWHKMLSCDEFIAH00623009";1;2;2019;4;2;552;1;1;1;1
"TQRMNOPPXHJOLQCDEFIAH00622923";1;1;2019;4;2;876;2;2;2;2
"TQRMNOPPXHJOLQCDEFIAH00622923";1;2;2019;4;2;876;2;1;2;1
"TQRMNOPPXHJOLQCDEFIAH00622923";1;3;2019;4;2;876;2;1;2;1
"TQRMNOPPXHJOLQCDEFIAH00622923";1;4;2019;4;2;876;2;1;2;1
"TQRMNOPPXHKMLSCDEFIAH00617427";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPPXHKMLSCDEFIAH00617427";1;2;2019;4;2;552;1;1;1;2
"TQRMNOPPXHKMLSCDEFIAH00617427";1;3;2019;4;2;552;1;1;1;1
"TQRMNOPPXHKNLPCDEFIAH00622874";1;1;2019;4;2;426;3;1;2;1
"TQRMNOPPXHKNLPCDEFIAH00622874";1;2;2019;4;2;426;3;1;2;1
"TQRMNOPPXHKNLPCDEFIAH00622874";1;3;2019;4;2;426;3;1;2;1
"TQRMNOPPYHJOLQCDEFIAH00622957";1;1;2019;4;2;876;2;1;2;1
"TQRMNOPPYHJOLQCDEFIAH00622957";1;2;2019;4;2;876;2;1;2;1
"TQRMNOPPYHJOLQCDEFIAH00622957";1;3;2019;4;2;876;2;2;2;2
"TQRMNOPPYHJOLQCDEFIAH00622957";1;4;2019;4;2;876;2;2;2;2
"TQRMNOPPYHKMLSCDEFIAH00617362";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPPYHKNLPCDEFIAH00622955";1;1;2019;4;2;426;1;1;2;1
"TQRMNOPPYHKNLPCDEFIAH00622955";1;2;2019;4;2;426;1;1;1;1
"TQRMNOPPYHKNLPCDEFIAH00622955";1;3;2019;4;2;426;1;1;1;1
"TQRMNOPPYHMOLTCDEFIAH00640532";1;1;2019;4;2;852;1;1;2;1
"TQRMNOPPYHMOLTCDEFIAH00640532";1;2;2019;4;2;852;1;1;1;1
"TQRMNOPPYHMOLTCDEFIAH00640532";1;3;2019;4;2;852;1;1;1;1
"TQRMNOPQPHKMLSCDEFIAH00617388";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPQPHKMLSCDEFIAH00617388";1;2;2019;4;2;552;1;1;1;1
"TQRMNOPQPHKMLSCDEFIAH00617388";1;3;2019;4;2;552;1;1;1;1
"TQRMNOPQPHKNLPCDEFIAH00617361";1;1;2019;4;2;426;1;2;2;2
"TQRMNOPQPHKNLPCDEFIAH00617361";1;2;2019;4;2;426;1;2;2;2
"TQRMNOPQPHKNLPCDEFIAH00617361";1;3;2019;4;2;426;1;1;2;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;1;2019;4;2;852;4;1;2;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;2;2019;4;2;852;4;1;2;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;3;2019;4;2;852;4;1;1;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;4;2019;4;2;852;4;1;1;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;5;2019;4;2;852;4;1;1;1
"TQRMNOPQQHMOLTCDEFIAH00640400";1;6;2019;4;2;852;4;2;2;2
"TQRMNOPQRHJKLMCDEFIAH00646634";1;1;2019;4;2;1424;1;1;1;1
"TQRMNOPQRHLLKTCDEFIAH00646764";1;1;2019;4;2;887;1;1;1;1
"TQRMNOPQRHLLKTCDEFIAH00646764";1;2;2019;4;2;887;1;1;1;1
"TQRMNOPQRHLLKTCDEFIAH00646764";1;3;2019;4;2;887;1;1;1;1
"TQRMNOPQRHMOLTCDEFIAH00640474";1;1;2019;4;2;852;1;1;2;1
"TQRMNOPQRHMOLTCDEFIAH00640474";1;2;2019;4;2;852;1;2;2;2
"TQRMNOPQRHMOLTCDEFIAH00640474";1;3;2019;4;2;852;1;1;2;1
"TQRMNOPQSHJKLMCDEFIAH00623028";1;1;2019;4;2;1424;1;1;2;1
"TQRMNOPQSHJKLMCDEFIAH00623028";1;2;2019;4;2;1424;1;1;2;1
"TQRMNOPQSHLLKTCDEFIAH00646729";1;1;2019;4;2;887;1;1;1;1
"TQRMNOPQSHLLKTCDEFIAH00646729";1;2;2019;4;2;887;1;1;1;1
"TQRMNOPQSHMOLTCDEFIAH00640549";1;1;2019;4;2;852;1;1;2;1
"TQRMNOPQSHMOLTCDEFIAH00640549";1;2;2019;4;2;852;1;2;2;2
"TQRMNOPQSHMOLTCDEFIAH00640549";1;3;2019;4;2;852;1;2;2;2
"TQRMNOPQSHMOLTCDEFIAH00640549";1;4;2019;4;2;852;1;1;2;1
