"CODUSU","NRO_HOGAR","REALIZADA","ANO4","TRIMESTRE","AGLOMERADO","POND_TIC","IH_II_01","IH_II_02"
"TQRMNOPPQHJOLTCDEFIAH00497977",1,1,2016,4,2,630,1,1
"TQRMNOPPQHLMLPCDEFIAH00497998",1,1,2016,4,2,543,1,1
"TQRMNOPPRHJOLTCDEFIAH00497981",1,1,2016,4,2,630,1,2
"TQRMNOPPRHJOMMCDEFIAH00498028",1,1,2016,4,2,758,2,2
"TQRMNOPPRHLMLPCDEFIAH00498080",1,1,2016,4,2,543,1,1
"TQRMNOPPRHMLKPCDEFIAH00487634",1,1,2016,4,2,797,1,1
"TQRMNOPPSHJOLTCDEFIAH00497982",1,1,2016,4,2,630,2,2
"TQRMNOPPSHLMLPCDEFIAH00498079",1,1,2016,4,2,543,1,1
"TQRMNOPPTHJOLTCDEFIAH00497983",1,1,2016,4,2,630,2,2
"TQRMNOPPTHLMLPCDEFIAH00498074",1,1,2016,4,2,543,1,1
"TQRMNOPPUHJOMMCDEFIAH00498049",1,1,2016,4,2,758,1,1
"TQRMNOPPUHKOLUCDEFIAH00487829",1,1,2016,4,2,742,2,1
"TQRMNOPPUHMLKPCDEFIAH00487698",1,1,2016,4,2,797,1,1
"TQRMNOPQQHKOLOCDEFIAH00498098",1,1,2016,4,2,792,1,2
"TQRMNOPQQHMMKOCDEFIAH00487817",1,1,2016,4,2,539,1,1
"TQRMNOPQRHKOLOCDEFIAH00498099",1,1,2016,4,2,792,1,1
"TQRMNOPQSHKOLOCDEFIAH00498101",1,1,2016,4,2,792,2,1
"TQRMNOPQTHKOLOCDEFIAH00498149",1,1,2016,4,2,792,2,1
"TQRMNOPQUHKOLOCDEFIAH00498129",1,1,2016,4,2,792,2,2
"TQRMNOPQUHMMKOCDEFIAH00487843",1,1,2016,4,2,539,1,1
"TQRMNOPQVHKMLMCDEFIAH00498130",1,1,2016,4,2,583,1,1
"TQRMNOPQWHKMLMCDEFIAH00487811",1,1,2016,4,2,583,1,1
"TQRMNOPQXHKMLMCDEFIAH00487867",1,1,2016,4,2,583,1,1
"TQRMNOPQYHKMLMCDEFIAH00487864",1,1,2016,4,2,583,1,1
"TQRMNOPRPHKMLMCDEFIAH00487798",1,1,2016,4,2,583,1,1
"TQRMNOPRQHMOLQCDEFIAH00487825",1,1,2016,4,2,607,1,1
"TQRMNOPRRHKMKUCDEFIAH00487767",1,1,2016,4,2,615,1,1
"TQRMNOPRRHMOLQCDEFIAH00498153",1,1,2016,4,2,607,1,1
"TQRMNOPRSHMOLQCDEFIAH00487770",1,1,2016,4,2,607,1,1
"TQRMNOPRTHMOLQCDEFIAH00487812",2,1,2016,4,2,607,1,1
